scenario,t,bid,cumulative_cost,remaining_budget
tight,7401,0.30000000000000004,294.6,105.39999999999975
tight,7451,0.5,295.20000000000005,104.79999999999976
tight,7501,0.5,298.30000000000007,101.69999999999976
tight,7551,0.4,299.7,100.29999999999977
tight,7601,0.4,300.30000000000007,99.69999999999978
tight,7651,0.2,302.70000000000005,97.29999999999978
tight,7701,0.30000000000000004,302.70000000000005,97.29999999999978
tight,7751,0.4,306.3,93.69999999999978
tight,7801,0.30000000000000004,308.6,91.39999999999978
tight,7851,0.2,310.3,89.69999999999978
tight,7901,0.6000000000000001,310.30000000000007,89.69999999999978
tight,7951,0.6000000000000001,314.5,85.49999999999979
tight,8001,0.4,316.70000000000005,83.29999999999978
tight,8051,0.5,319.5,80.49999999999979
tight,8101,0.30000000000000004,322.0,77.9999999999998
tight,8151,0.6000000000000001,325.4,74.59999999999981
tight,8201,0.0,327.40000000000003,72.59999999999982
tight,8251,0.0,328.5,71.49999999999982
tight,8301,0.30000000000000004,332.50000000000006,67.49999999999983
tight,8351,0.0,334.9,65.09999999999984
tight,8401,0.30000000000000004,336.1,63.89999999999984
tight,8451,0.6000000000000001,338.5,61.49999999999984
tight,8501,0.2,339.90000000000003,60.09999999999984
tight,8551,0.2,342.3,57.69999999999983
tight,8601,0.4,343.7,56.299999999999834
tight,8651,0.1,343.70000000000005,56.299999999999834
tight,8701,0.1,344.20000000000005,55.799999999999834
tight,8751,0.1,346.0,53.99999999999983
tight,8801,0.6000000000000001,349.1,50.89999999999982
tight,8851,0.6000000000000001,350.8,49.19999999999982
tight,8901,0.0,351.20000000000005,48.79999999999982
tight,8951,0.30000000000000004,351.6,48.39999999999982
tight,9001,0.5,352.80000000000007,47.199999999999825
tight,9051,0.5,353.70000000000005,46.29999999999983
tight,9101,0.0,355.5,44.49999999999983
tight,9151,0.4,355.9,44.09999999999983
tight,9201,0.30000000000000004,358.1,41.89999999999983
tight,9251,0.1,359.00000000000006,40.99999999999983
tight,9301,0.5,362.1,37.89999999999983
tight,9351,0.5,363.3,36.699999999999825
tight,9401,0.4,367.0,32.99999999999983
tight,9451,0.4,367.00000000000006,32.99999999999983
tight,9501,0.5,368.30000000000007,31.69999999999983
tight,9551,0.5,372.20000000000005,27.799999999999823
tight,9601,0.6000000000000001,373.90000000000003,26.09999999999982
tight,9651,0.1,375.80000000000007,24.199999999999818
tight,9701,0.30000000000000004,379.0,20.99999999999982
tight,9751,0.6000000000000001,380.6,19.39999999999982
tight,9801,0.1,382.5,17.49999999999982
tight,9851,0.5,384.70000000000005,15.299999999999821
tight,9901,0.4,386.20000000000005,13.799999999999821
tight,9951,0.1,387.30000000000007,12.699999999999822
